x,y,z
1.623181076960717348e+02,1.350000000000000000e+02,9.707215901673247327e-01
1.619683718287326997e+02,1.350000000000000000e+02,8.497358673390245087e-01
1.614976502385653703e+02,1.350000000000000000e+02,6.502641326609756023e-01
1.609999330846877115e+02,1.349999330846877115e+02,5.292784098326752673e-01
1.605000000000000000e+02,1.349977171538776872e+02,5.022828461223229901e-01
1.600000000000000000e+02,1.349706546748550409e+02,5.000669153123074029e-01
1.595000000000000000e+02,1.348474530212167224e+02,5.000000000000000000e-01
1.590000000000000000e+02,1.346209188075160057e+02,5.000000000000000000e-01
1.585000000000000000e+02,1.343767314310493930e+02,5.000000000000000000e-01
1.580000000000000000e+02,1.341232016536383185e+02,5.000000000000000000e-01
1.575000000000000000e+02,1.338767983463616815e+02,5.000000000000000000e-01
1.570000000000000000e+02,1.336232016536383185e+02,5.000000000000000000e-01
1.565000000000000000e+02,1.333767983463616815e+02,5.000000000000000000e-01
1.560000000000000000e+02,1.331232016536383185e+02,5.000000000000000000e-01
1.555000000000000000e+02,1.328767983463616815e+02,5.000000000000000000e-01
1.550000000000000000e+02,1.326232016536383185e+02,5.000000000000000000e-01
1.545000000000000000e+02,1.323767314310493930e+02,5.000000000000000000e-01
1.540000000000000000e+02,1.321209188075159773e+02,5.000669153123074029e-01
1.535000000000000000e+02,1.318474530212167224e+02,5.022828461223229901e-01
1.530000000000000000e+02,1.314706546748550409e+02,5.292784098326752673e-01
1.525000000000000000e+02,1.309977840691900042e+02,6.502641326609756023e-01
1.520000000000000000e+02,1.305022828461223412e+02,8.497358673390245087e-01
1.515000000000000000e+02,1.300316281712673003e+02,9.707215901673247327e-01
1.510000000000000000e+02,1.296818923039282936e+02,9.977171538776770099e-01
1.505000000000000000e+02,1.295316281712673288e+02,9.999330846876925971e-01
1.500000000000000000e+02,1.295023497614346297e+02,1.000000000000000000e+00
1.495000000000000000e+02,1.295000000000000000e+02,1.000000000000000000e+00
1.490000000000000000e+02,1.294976502385653703e+02,1.000000000000000000e+00
1.485000000000000000e+02,1.294683718287326997e+02,1.000000000000000000e+00
1.480000000000000000e+02,1.293181746113840518e+02,1.000000000000000000e+00
1.475000000000000000e+02,1.289707215901673294e+02,1.000000000000000000e+00
1.470000000000000000e+02,1.285292784098326706e+02,1.000000000000000000e+00
1.465000000000000000e+02,1.281818253886159766e+02,1.000000000000000000e+00
1.460000000000000000e+02,1.280316281712673003e+02,1.000000000000000000e+00
1.455000000000000000e+02,1.280023497614346297e+02,1.000000000000000000e+00
1.450000000000000000e+02,1.280000669153122885e+02,1.000000000000000000e+00
1.445000000000000000e+02,1.280000000000000000e+02,1.000000000000000000e+00
1.440000000000000000e+02,1.279999330846876973e+02,1.000000000000000000e+00
1.435000000000000000e+02,1.279977840691899900e+02,1.000000000000000000e+00
1.430000000000000000e+02,1.279730713516019591e+02,1.000000000000000000e+00
1.425001338306246339e+02,1.278813640386063355e+02,1.000000000000000000e+00
1.420046326075569709e+02,1.278321564365892726e+02,1.000000000000000000e+00
1.415609065810999709e+02,1.280609065810999709e+02,1.000000000000000000e+00
1.413322233519015754e+02,1.285046326075569709e+02,1.000000000000000000e+00
1.413836468847286483e+02,1.290001338306246055e+02,1.000000000000000000e+00
1.415023497614346297e+02,1.295000000000000000e+02,1.000066915312307403e+00
1.416480482018509690e+02,1.300000000000000000e+02,1.002349761434630393e+00
1.418496020367144297e+02,1.305000000000000000e+02,1.031628171267305660e+00
1.419684387440449882e+02,1.310000000000000000e+02,1.181892303928281152e+00
1.419684387440449882e+02,1.315000000000000000e+02,1.531628171267305660e+00
1.418496689520267182e+02,1.320000000000000000e+02,2.002349761434630615e+00
1.416502641326609933e+02,1.325000000000000000e+02,2.500066915312307625e+00
1.415292784098326706e+02,1.330000000000000000e+02,3.000000000000000000e+00
1.415022828461223412e+02,1.334999330846877115e+02,3.500000000000000000e+00
1.415000669153123170e+02,1.339976502385653703e+02,4.000000000000000000e+00
1.415000000000000000e+02,1.344683718287326997e+02,4.500000000000000000e+00
1.415000000000000000e+02,1.348181076960717348e+02,5.000000000000000000e+00
1.415000000000000000e+02,1.349683718287326997e+02,5.500000000000000000e+00
1.415000000000000000e+02,1.349976502385653703e+02,6.000000000000000000e+00
1.415000000000000000e+02,1.349999330846877115e+02,6.500000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,7.000000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,7.500000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,8.000000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,8.500000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,9.000000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,9.500000000000000000e+00
1.415000000000000000e+02,1.350000000000000000e+02,1.000000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.050000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.100000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.150000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.200000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.250000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.300000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.350000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.400000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.450000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.500000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.550000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.600000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.650000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.700000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.750000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.800000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.850000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.900000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,1.950000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.000000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.050000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.100000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.150000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.200000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.250000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.300000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.350000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.400000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.450000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.500000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.550000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.600000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.650000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.700000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.750000000000000355e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.800000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.850000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.900000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,2.950000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.000000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.050000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.100000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.150000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.200000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.250000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.300000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.350000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.400000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.450000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.500000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.550000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.600000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.650000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.700000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.750000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.800000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.850000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.900000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,3.950000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.000000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.050000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.100000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.150000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.200000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.250000000000000711e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.300000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.350000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.400000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.450000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.500000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.550000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.600000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.650000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.700000000000000000e+01
1.415000000000000000e+02,1.350000000000000000e+02,4.750000000000000000e+01
